Local authority name,Local_authority_code,Total_spend,"Housing strategy, advice and enabling_Total Expenditure  (C3 = C1 + C2)",Total Homelessness_Total Expenditure  (C3 = C1 + C2)88,Housing benefits administration_Total Expenditure  (C3 = C1 + C2)116,TOTAL HOUSING SERVICES (GFRA only)_Total Expenditure  (C3 = C1 + C2)144,"Housing strategy, advice and enabling_Net Current Expenditure  (C7 = C3 - C6)",Total Homelessness_Net Current Expenditure  (C7 = C3 - C6)92,Total_population,IMD - Average score,IMD - Rank of average score,Under 25,25 to 34,35 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 plus,Cluster
Hartlepool,E06000001,5487,969.0,123.0,582.0,3431.0,670.0,123.0,92600,35.037,10.0,79.0,389,531,300,384,443,476,703,2191,3
Middlesbrough,E06000002,9622,197.0,2090.0,1719.0,5286.0,169.0,1399.0,143700,40.46,5.0,181.0,1043,1367,751,872,897,893,1026,2583,3
Redcar and Cleveland,E06000003,8345,118.0,353.0,1699.0,2524.0,67.0,215.0,136600,29.792,40.0,150.0,717,1018,586,673,738,754,958,2751,3
Stockton-on-Tees,E06000004,9139,1579.0,1451.0,1563.0,7259.0,179.0,1226.0,197000,25.79,73.0,144.0,924,1241,617,742,773,788,1017,2901,3
Darlington,E06000005,5203,223.0,973.0,504.0,2903.0,73.0,559.0,108200,25.657,77.0,115.0,457,687,345,405,427,408,565,1791,1
Halton,E06000006,6173,816.0,301.0,1206.0,3055.0,133.0,299.0,128600,32.325,23.0,58.0,395,680,389,488,517,560,763,2322,3
Warrington,E06000007,6438,1105.0,1373.0,1145.0,6257.0,56.0,472.0,211200,18.942,148.0,95.0,431,821,477,499,551,514,712,2333,1
Blackburn with Darwen,E06000008,6524,335.0,1644.0,1192.0,4981.0,298.0,1059.0,154900,36.013,9.0,163.0,486,906,558,617,622,617,669,1889,3
Blackpool,E06000009,10585,445.0,2062.0,1785.0,5921.0,135.0,1579.0,141000,45.039,1.0,211.0,990,1394,824,1030,1160,978,1145,2853,3
"Kingston upon Hull, City of",E06000010,20112,581.0,3403.0,8205.0,19530.0,581.0,3325.0,266500,40.564,4.0,544.0,2113,2687,1488,1640,1696,1662,2134,6145,2
East Riding of Yorkshire,E06000011,10382,576.0,990.0,1583.0,4709.0,425.0,969.0,343100,15.605,202.0,115.0,662,944,621,707,724,724,1217,4679,3
North East Lincolnshire,E06000012,7267,2774.0,828.0,997.0,8486.0,2393.0,598.0,157200,31.335,29.0,238.0,681,942,457,572,538,557,799,2476,3
York,E06000014,5282,316.0,3027.0,1030.0,8453.0,-1.0,2079.0,201700,11.727,267.0,120.0,429,661,319,462,417,360,504,2012,1
Derby,E06000015,12150,733.0,3521.0,5049.0,12444.0,438.0,2644.0,261100,26.323,67.0,320.0,1314,1980,1002,1014,1096,902,1161,3363,3
Leicester,E06000016,17550,575.0,7312.0,3772.0,15433.0,368.0,6190.0,366000,30.877,32.0,383.0,1583,2890,1667,1670,1477,1393,1690,4802,3
Rutland,E06000017,783,8.0,406.0,65.0,494.0,7.0,281.0,41400,8.381,303.0,7.0,38,59,33,35,50,39,85,430,1
Nottingham,E06000018,21366,130.0,9340.0,8082.0,19065.0,130.0,8924.0,319600,34.891,11.0,551.0,2723,3475,1775,1922,2125,1770,1886,5137,2
"Herefordshire, County of",E06000019,6554,555.0,3768.0,31.0,6813.0,488.0,2967.0,187600,18.89,152.0,87.0,521,741,437,494,502,476,711,2580,1
Telford and Wrekin,E06000020,9438,551.0,1957.0,1001.0,5419.0,489.0,970.0,185800,24.988,86.0,277.0,1072,1351,698,707,738,670,956,2968,3
Stoke-on-Trent,E06000021,13703,340.0,5491.0,1381.0,19980.0,-1812.0,3756.0,258000,34.504,14.0,341.0,1278,1866,1130,1140,1201,1127,1453,4169,3
Bath and North East Somerset,E06000022,5174,452.0,2411.0,2136.0,7511.0,252.0,1932.0,192400,11.745,265.0,112.0,364,573,384,417,413,330,512,2069,1
"Bristol, City of",E06000023,23759,4032.0,12602.0,3765.0,36838.0,3764.0,9928.0,471100,26.363,65.0,659.0,2823,4177,2223,2212,2276,1780,1993,5616,2
North Somerset,E06000024,7403,611.0,1782.0,2091.0,7001.0,241.0,1186.0,217400,15.825,196.0,163.0,565,993,511,644,642,505,768,2607,1
South Gloucestershire,E06000025,7317,1263.0,2640.0,1116.0,7590.0,978.0,959.0,290700,11.66,269.0,196.0,916,1153,590,583,498,422,562,2384,1
Plymouth,E06000026,13246,2491.0,7671.0,520.0,12119.0,1707.0,4591.0,264700,26.619,64.0,253.0,1183,1892,1119,1123,1189,1028,1355,4118,3
